date,RZ_ID,Year,Month,LoS,buffer,ep_total,ep_mean,q50_anomaly_total,q75_anomaly_total,q90_anomaly_total,q50_deficit_total,Day
2034-04-01,36,2034,4,0,25.0,2.8565599984,0.9521866661333332,2.5871206215999996,0.29771555019999996,-2.385790717184002,0.0,1
2034-05-01,36,2034,5,0,25.0,3.399711836,1.1332372786666667,0.6076980212000005,-2.6024595904000005,-5.101900642672,0.0,1
2034-06-01,36,2034,6,0,25.0,-3.0781758800000008,-1.026058626666667,-6.9569401316000015,-11.407267592,-14.925440718800001,6.9569401316000015,1
2034-07-01,36,2034,7,0,25.0,7.994884494400001,2.6649614981333336,0.8815985728000006,-3.575119679,-6.074526742063998,0.0,1
2034-08-01,36,2034,8,0,25.0,4.8411261344,1.6137087114666666,0.6664176703999996,-2.7492636112,-4.974859447600002,0.0,1
2034-09-01,36,2034,9,0,25.0,1.5140306207999998,0.5046768735999999,2.9869951091999996,0.12395235839999996,-1.773780984480001,0.0,1
2034-10-01,36,2034,10,0,25.0,-7.461558807199999,-2.4871862690666666,-2.2773811939999993,-5.689784037799999,-8.021041522376002,2.2773811939999993,1
2034-11-01,36,2034,11,0,25.0,-5.5423124632,-1.8474374877333333,3.3024243038000005,-0.21632075079999957,-2.1256314379600005,0.0,1
2034-12-01,36,2034,12,0,25.0,-10.161990832,-3.3873302773333336,-0.4364928166000013,-3.6472642603,-6.0639969902800015,0.4364928166000013,1
2035-01-01,36,2035,1,0,25.0,-12.8403022916,-4.280100763866667,-3.8536721426000007,-7.2716250821,-9.632981024360001,3.8536721426000007,1
2035-02-01,36,2035,2,0,25.0,-6.1730203748,-2.0576734582666667,0.38450675079999996,-2.3661319316,-3.8940879854000015,0.0,1
2035-03-01,36,2035,3,0,25.0,-2.42688146,-0.8089604866666668,1.5646199907999994,-0.9702231908000001,-3.116345870000001,0.0,1
2035-04-01,36,2035,4,0,25.0,2.7226059319999996,0.9075353106666665,2.4531665551999993,0.16376148379999966,-2.5197447835840023,0.0,1
2035-05-01,36,2035,5,0,25.0,3.5383078216,1.1794359405333334,0.7462940068000008,-2.4638636048,-4.963304657071999,0.0,1
2035-06-01,36,2035,6,0,25.0,8.2802258176,2.7600752725333333,4.401461566,-0.04886589440000044,-3.567039021200001,0.0,1
2035-07-01,36,2035,7,0,25.0,13.252054042080001,4.41735134736,6.138768120480001,1.68204986868,-0.8173571943839981,0.0,1
2035-08-01,36,2035,8,0,25.0,2.22190774,0.7406359133333332,-1.9528007240000003,-5.3684820056,-7.594077842000002,1.9528007240000003,1
2035-09-01,36,2035,9,0,25.0,-3.1628221935999994,-1.054274064533333,-1.6898577051999997,-4.552900456,-6.45063379888,1.6898577051999997,1
2035-10-01,36,2035,10,0,25.0,-10.596903233199999,-3.532301077733333,-5.412725619999999,-8.825128463799999,-11.156385948376002,5.412725619999999,1
2035-11-01,36,2035,11,0,25.0,-4.0049255232,-1.3349751744,4.839811243800001,1.3210661892000006,-0.5882444979600003,0.0,1
2035-12-01,36,2035,12,0,25.0,-7.662967652399999,-2.5543225508,2.0625303630000005,-1.1482410806999983,-3.5649738106799997,0.0,1
2036-01-01,36,2036,1,0,25.0,-11.712634484,-3.904211494666667,-2.7260043350000007,-6.1439572745,-8.505313216760001,2.7260043350000007,1
2036-02-01,36,2036,2,0,25.0,-6.0771559428,-2.0257186476,0.4803711827999999,-2.2702674996,-3.7982235534000015,0.0,1
2036-03-01,36,2036,3,0,25.0,-2.8328178176,-0.9442726058666667,1.1586836331999995,-1.3761595484,-3.5222822276000008,0.0,1
2036-04-01,36,2036,4,0,25.0,1.0132296248,0.33774320826666665,0.7437902479999996,-1.5456148234,-4.229121090784002,0.0,1
2036-05-01,36,2036,5,0,25.0,10.4617640808,3.4872546936,7.669750266000001,4.4595926544,1.9601516021280005,0.0,1
2036-06-01,36,2036,6,0,25.0,4.0641303816,1.3547101272,0.1853661299999998,-4.2649613304,-7.783134457200001,0.0,1
2036-07-01,36,2036,7,0,25.0,3.3037760984000006,1.1012586994666669,-3.8095098231999995,-8.266228075,-10.765635138063999,3.8095098231999995,1
2036-08-01,36,2036,8,0,25.0,4.443860023199999,1.4812866743999997,0.2691515591999991,-3.1465297224000004,-5.372125558800002,0.0,1
2036-09-01,36,2036,9,0,25.0,-2.5822149792,-0.8607383264,-1.1092504908000005,-3.9722932416,-5.8700265844800015,1.1092504908000005,1
2036-10-01,36,2036,10,0,25.0,-2.6920249824000004,-0.8973416608000001,2.4921526307999997,-0.9202502130000005,-3.2515076975760024,0.0,1
2036-11-01,36,2036,11,0,25.0,-6.1385782748,-2.046192758266667,2.7061584922,-0.8125865623999999,-2.721897249560001,0.0,1
2036-12-01,36,2036,12,0,25.0,-10.094745320000001,-3.364915106666667,-0.36924730460000177,-3.5800187483000006,-5.996751478280002,0.36924730460000177,1
